cleaned-text-line-id,cleaned-text-paragraph-id,cleaned-text-line,cleaned-text-paragraph,summarized-text-paragraph,metadata-volume-folio,metadata-date,metadata-legal-case,metadata-proctor,metadata-frontmatter,metadata-frontmatter-witness-name,metadata-frontmatter-witness-residence,metadata-frontmatter-witness-occupation,metadata-frontmatter-witness-age,metadata-allegation,metadata-libel,metadata-interrogatory,metadata-signoff
96,10,by them over and above the rate the said peppers would at Genua have,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
97,10,yeelded more then the said hasilgrave sold them for.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
98,11,Upon the rest hee is not examined by direction of the partie producent,"""Upon the rest hee is not examined by direction of the partie producent""","""The deponent was not questioned on the remaining articles, as directed by the producing party.""",HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,allegation,,,
99,11,Repeated before doctor Clarke and doctor Godolphin.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""Andrews and Clutterbuck against hasilgrave""",,,,,,,,,,
101,11,The 5th of September 1654.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
102,11,William Courten Esquire against),,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
103,11,[?Spencer]. Clements ffrancklin),,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""","""Clements, ffrancklin""",,,,,,,,,
104,11,Examined upon the libell given in this cause.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
105,11,Clements dt. [?XX 2 alys],,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""","""Clements""",,,,,,,,,
106,11,Richard Lee of London gentleman aged 34 yeares or thereabouts,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,"""Richard Lee of London gentleman aged 34 yeares or thereabouts sworne and examined.""","""Richard Lee""","""of London""","""gentleman""","""aged 34 yeares or thereabouts""",,,,
107,11,sworne and examined.,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,"""Richard Lee of London gentleman aged 34 yeares or thereabouts sworne and examined.""",,,,,,,,
108,12,To the first second 3. 4. 5 and 6 articles of the said libell hee saith and deposeth that,"""To the first second 3. 4. 5 and 6 articles of the said libell hee saith and deposeth that hee well knoweth the arlate William Mourten Esquire (the producent) commonly called Sir William Mourten, and Jeremiah harrison, and is very well acquainted with them both and that hee this deponent was the last yeare present in [?Queenes] Creeke in yorke river in Virginia at the plantation of the said Jeremiah, harrison and had severall times speech with the said Jeremiah harrison about the tobacoes in question being desired by Sir William Mourten the producent (or by major henry Norwood as agent for the said William Mourten Esquire) to speake with the said harrison thereabouts""","""In response to the first, second, third, fourth, fifth, and sixth articles of the libel, the deponent states that he is well acquainted with William Mourten Esquire, commonly called Sir William Mourten, and Jeremiah Harrison. He confirms that last year, he was at Jeremiah Harrison's plantation in Queen's Creek on the York River in Virginia. During that time, he had several conversations with Harrison regarding the tobaccoes in question, having been asked to do so by Sir William Mourten, the producent, or by Major Henry Norwood acting as an agent for Mourten.""",HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
109,12,hee well knoweth the arlate William Mourten Esquire (the producent),,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
110,12,"commonly called Sir William Mourten, and Jeremiah harrison, and is very",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
111,12,well acquainted with them both and that hee this deponent was the last yeare present,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
112,12,"in [?Queenes] Creeke in yorke river in Virginia at the plantation of the said Jeremiah,",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
113,12,harrison and had severall times speech with the said Jeremiah harrison,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
114,12,about the tobacoes in question being desired by Sir William,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
115,12,Mourten the producent (or by major henry Norwood as agent for the said,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
116,12,"William Mourten Esquire) to speake with the said harrison thereabouts,",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
117,13,and saith that in or about the moneth of January last past being,"""and saith that in or about the moneth of January last past being with him the said harrison at the said place of his plantation, and showing him the accompt (nowe left by this deponent for the information of this Court) the said harrison then and there confessed to this deponent that hee had received the three dozen of shoes and three servants mentioned in the said [?XXXX] of Major henry Norwood, and that there then rested due from him the said harrison to the said William Mourten upon the accompt for the said shoes and servants for the ballance of the said accompt foure thousand five hundred thirtie eight pounds weight of tobaccoe, and acknowledged the said accompt to be true and a true copie of the originall thereof, ""","""The deponent states that in or around January of the previous year, while at Jeremiah Harrison's plantation, he showed Harrison the account, which has now been submitted to the court. Harrison admitted to receiving three dozen shoes and three servants, as mentioned in Major Henry Norwood's account. He also acknowledged that he still owed William Mourten 4,538 pounds of tobacco as the balance for the shoes and servants, confirming that the account was accurate and a true copy of the original.""",HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
118,13,"with him the said harrison at the said place of his plantation, and",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
119,13,showing him the accompt (nowe left by this deponent for the information,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
120,13,of this Court) the said harrison then and there confessed to this deponent,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
121,13,that hee had received the three dozen of shoes and three servants,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
122,13,"mentioned in the said [?XXXX] of Major henry Norwood, and that there then rested due from",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
123,13,him the said harrison to the said William Mourten upon the accompt for,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
124,13,the said shoes and servants for the ballance of the said accompt foure,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
125,13,"thousand five hundred thirtie eight pounds weight of tobaccoe, and",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
126,13,acknowledged the said accompt to be true and a true copie of the originall,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
127,14,"thereof, And further saith that the tenn hogsheads of tobaccoe mentioned","""And further saith that the tenn hogsheads of tobaccoe mentioned in the said sixth article were in or about the beginning of the moneth of ffebruary last past (as hee remembreth the time) shipped by the said Jeremiah harrison himselfe aboard the shipp James (Nathaniell Cook master) then riding in yorke River aforesaid, for this port of London, for his owne accompt, which hee knoweth because hee this deponent was there present and heard him treate with the said master about the freight for the same and heard him the said harrison say that the same was for his owne accompt, and otherwise hee cannot depose.""","""The deponent further states that in early February of the previous year, Jeremiah Harrison personally shipped ten hogsheads of tobacco aboard the ship James, commanded by Nathaniel Cook, while it was anchored in the York River. The tobacco was sent to London for Harrison's own account. The deponent knows this because he was present during Harrison's discussion with the ship's master about the freight cost, and he heard Harrison confirm that the tobacco was for his own account. The deponent has no further information to provide.""",HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
128,14,in the said sixth article were in or about the beginning of the moneth of,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
129,14,ffebruary last past (as hee remembreth the time) shipped by the said,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
130,14,Jeremiah harrison himselfe aboard the shipp James (Nathaniell Cook,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
131,14,"master) then riding in yorke River aforesaid, for this port of",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
132,14,"London, for his owne accompt, which hee knoweth because hee this deponent",,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
133,14,was there present and heard him treate with the said master about the,,,HCA 13/70 f.3r Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
134,14,freight for the same and heard him the said harrison say that the same,,,HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
135,14,"was for his owne accompt, and otherwise hee cannot depose.",,,HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
136,15,To the 7th hee cannot depose.,"""To the 7th hee cannot depose.""","""In response to the 7th article, the deponent has no information to provide.""",HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,libel,,
137,,Repeated the 6th of September 1654 before,,,HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
138,,doctor Clarke and dr Godolphin after 2 in the afternoone.,,,HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
139,,[?RXXXX],,,HCA 13/70 f.3v Annotate,"""The 5th of September 1654. (1654-09-05)""","""William Courten Esquire against [?Spencer]""",,,,,,,,,,
140,,The seaventh of September 1654.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
141,,The Lord Protector against the),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
142,,Greene dragon and Marble stones),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
143,,and other goods in the same.),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
144,,Budd.),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""","""Budd""",,,,,,,,,
145,,Examined upon an allegation on the behalfe of,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
146,,his said highnesse.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
147,,Rowe dt.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""","""Rowe""",,,,,,,,,
148,,Edward Scrafe of Bright hampston in the County of,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,"""Edward Scrafe of Bright hampston in the County of Sussex Gentleman, aged 55 yeares or thereabouts sworme and examined.""","""Edward Scrafe""","""of Bright hampston in the County of Sussex""",,,,,,
149,,"Sussex Gentleman, aged 55 yeares or thereabouts",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,"""Edward Scrafe of Bright hampston in the County of Sussex Gentleman, aged 55 yeares or thereabouts sworme and examined.""",,"""of Bright hampston in the County of Sussex""","""Gentleman""","""aged 55 yeares or thereabouts""",,,,
150,,sworne and examined.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
151,16,To the first article of the said allegation hee saith and deposeth,"""To the first article of the said allegation hee saith and deposeth that within the time arlate and more particularly within some fewe dayes after the feast of Saint Andrew the Apostle 1652, a certaine shipp commonly called the Greene dragon otherwise the Greene Whale was by meanes of fowle and thick weather cast away with her lading of Marble stones and other goods neare Brighthampston aforesaid and there the said shipp perished, which hee knoweth because hee was then present at Brighthampston and sawe her soe cast away.""","""In response to the first article, the deponent states that sometime shortly after the Feast of Saint Andrew the Apostle in 1652, a ship known as the Greene Dragon, also called the Greene Whale, was wrecked near Brighthampston due to foul and thick weather. The ship, along with its cargo of marble stones and other goods, was lost. The deponent knows this because he was present at Brighthampston and witnessed the ship being wrecked.""",HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
152,16,that within the time arlate and more particularly within some fewe,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
153,16,"dayes after the feast of Saint Andrew the Apostle 1652, a certaine",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
154,16,shipp commonly called the Greene dragon otherwise the Greene Whale,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
155,16,was by meanes of fowle and thick weather cast away,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
156,16,with her lading of Marble stones and other goods neare Brighthampston,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
157,16,"aforesaid and there the said shipp perished, which hee knoweth because hee was then",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
158,16,present at Brighthampston and sawe her soe cast away.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
159,17,To the second hee saith that the next morning after such casting away,"""To the second hee saith that the next morning after such casting away this deponent had speech with severall of the company of the said shipp who escaped and came there ashore, and heard them say and acknowledge that the said shipp Greene dragon other wise Greene Whale was a holland shipp, and saith there was a common and [?XXXX] [?and] speech there that the said shipp and her lading were belonging to hollanders, And otherwise hee cannot depose.""","""In response to the second article, the deponent states that the morning after the shipwreck, he spoke with several crew members who had escaped and come ashore. He heard them confirm that the Greene Dragon, also known as the Greene Whale, was a Dutch ship. There was also general talk that both the ship and its cargo belonged to Dutch owners. The deponent has no further information to add.""",HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
160,17,this deponent had speech with severall of the company of the said shipp,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
161,17,"who escaped and came there ashore, and heard them say and acknowledge",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
162,17,that the said shipp Greene dragon other wise Greene Whale was a,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
163,17,"holland shipp, and saith there was a common and [?XXXX] [?and] speech there that the said shipp and her lading were belonging",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
164,17,"to hollanders, And otherwise hee cannot depose.",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
165,18,To the last hee referreth himselfe to the lawes and customs of this,"""To the last hee referreth himselfe to the lawes and customs of this Commonwealth in the matters arlated, And otherwise cannot depose.""","""In response to the final article, the deponent refers to the laws and customs of the Commonwealth regarding the matters in question and has no further information to provide.""",HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
166,,"Commonwealth in the matters arlated, And otherwise cannot depose.",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,allegation,,,
167,,Repeated before doctors Clarke and Godolphin.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The Lord Protector against the Greene dragon and Marble stones and other goods in the same""",,,,,,,,,,
169,,The seaventh of September 1654.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,,,,
170,,The claime of Colonell Samuell Atkins of),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,,,,
171,,Leith in Scotland for the Saint John. John Thomas),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,,,,
172,,master and goods taken by the Restitution.),,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,,,,
173,,John Augustin of dunquirke Merchant aged 23,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,"""John Augustin of dunquirke Merchant aged 23 yeares or thereabouts sworne and examined.""","""John Augustin""","""of dunquirke""","""Merchant""","""aged 23 yeares or thereabouts""",,,,
174,,yeares or thereabouts sworne and examined.,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,"""John Augustin of dunquirke Merchant aged 23 yeares or thereabouts sworne and examined.""",,,,"""aged 23 yeares or thereabouts""",,,,
175,19,To the first and second articles of the said allegation hee saith and deposeth that,"""To the first and second articles of the said allegation hee saith and deposeth that hee well knoweth the producent Samuel Atkins by correspondence in traffique, and was and is at dunquirke factor to the said Atkins and that in the moneth of October last past or thereabouts the saidSamuell Atkins by severall letters from Leith in Scotland sent to this deponent to dunquirke advised this deponent of the lading of a shipp or Galliot of his the said Atkins his whereof John Thomas was master with herrings [from] leith aforesaid for the port of dunquirke for the proper accompt of him the said Atkins, and that as hee wrote the same should be or were by him consigned to this deponent and ordered this deponent to sell them (if hee could) for his the said producents accompt, if not, to sell them for ffrance for the same accompt of the said Atkins."" ","""In response to the first and second articles, the deponent states that he is well acquainted with the producent, Samuel Atkins, through trade correspondence and serves as Atkins' factor in Dunkirk. In October of the previous year, Atkins sent several letters from Leith, Scotland, informing the deponent of the loading of a ship or galliot under the command of John Thomas, carrying herrings from Leith to Dunkirk for Atkins' account. Atkins instructed the deponent to sell the herrings on his behalf, either in Dunkirk or, if unsuccessful, to sell them in France, still for Atkins' account.""",HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
176,19,hee well knoweth the producent Samuel Atkins by correspondence in,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
177,19,"traffique, and was and is at dunquirke factor to the said Atkins",,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
178,19,and that in the moneth of October last past or thereabouts the said,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
179,19,Samuell Atkins by severall letters from Leith in Scotland sent,,,HCA 13/70 f.3v Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
180,19,to this deponent to dunquirke advised this deponent of the lading of a shipp,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
181,19,or Galliot of his the said Atkins his whereof John Thomas was master with herrings [from] leith aforesaid,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
182,19,"for the port of dunquirke for the proper accompt of him the said Atkins,",,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
183,19,and that as hee wrote the same should be or were by him consigned to this,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
184,19,deponent and ordered this deponent to sell them (if hee could) for his,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
185,19,"the said producents accompt, if not, to sell them for ffrance for the same",,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
186,20,accompt of the said Atkins. And further that afterwards in the said moneth,"""And further that afterwards in the said moneth of October or of November last past or thereabouts the said Galliot hoy the John (whereof John Thomas was master) came and arived with her lading of 156 barrells of herrings at dunquirke consigned to this deponent from the said producent from Leith who sent other letters with her to this deponent confirming his former orders for this deponent to sell the same or send them for ffrance for his the said producents account. and withall wrote that the vessell was his owne alsoe and advised this deponent to be assistant to the master and furnish him with what meanes hee had occasion to use as master of the said vessell whereas hee the said Samuel Atkins was owner or to that effect;""","""The deponent further states that in October or November of the previous year, the galliot John, under the command of John Thomas, arrived in Dunkirk carrying 156 barrels of herrings. The ship was consigned to the deponent by Samuel Atkins from Leith. Along with the cargo, Atkins sent additional letters confirming his earlier instructions for the deponent to sell the herrings or send them to France for Atkins' account. Atkins also informed the deponent that the vessel itself belonged to him and asked the deponent to assist the master, John Thomas, with any resources he might need in managing the vessel, as Atkins was its owner.""",HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
187,20,of October or of November last past or thereabouts the said Galliot,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
188,20,hoy the John (whereof John Thomas was master) came and arived with,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
189,20,her lading of 156 barrells of herrings at dunquirke consigned to this,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
190,20,deponent from the said producent from Leith who sent other letters with,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
191,20,her to this deponent confirming his former orders for this deponent,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
192,20,to sell the same or send them for ffrance for his the said producents account.,,,HCA 13/70 f.4r Annotate,"""The seaventh of September 1654. (1654-09-07)""","""The claime of Colonell Samuell Atkins of Leith in Scotland for the Saint John. John Thomas master and goods taken by the Restitution""",,,,,,,allegation,,,
